date,station,station_code,train_id,train_name,train_type,source_station,source_code,destination_station,destination_code,scheduled_arrival,scheduled_departure,halt_minutes,direction,runs_today,railway_zone,platform,intermediate_stops,track_number,route_distance_km,journey_duration_hrs,avg_speed_kmh
2026-03-16,Chennai Central,MAS,12839,HWH MAS EXP,Express,Howrah,HWH,Chennai Central,MAS,04:05,--,0,Arrival,Y,Southern Railway (SR),MAS,"Kharagpur, Bhubaneswar, Visakhapatnam, Vijayawada, Nellore",1,1661,28.5,58.3
2026-03-16,Chennai Central,MAS,22652,PGT MAS EXPRESS,Express,Palakkad,PGT,Chennai Central,MAS,03:45,--,0,Arrival,Y,Southern Railway (SR),MAS,"Shoranur, Thrissur, Ernakulam, Coimbatore, Katpadi",1,510,8.5,60.0
2026-03-16,Chennai Central,MAS,12658,CHENNAI MAIL,Mail Express,Bangalore City,SBC,Chennai Central,MAS,04:05,--,0,Arrival,Y,Southern Railway (SR),MAS,"Bangalore Cantt, Jolarpettai, Katpadi, Perambur, Basin Bridge",1,362,6.0,60.3
2026-03-16,Chennai Central,MAS,22650,YERCAUD EXP,Express,Erode,ED,Chennai Central,MAS,04:25,--,0,Arrival,Y,Southern Railway (SR),MAS,"Salem, Jolarpettai, Katpadi, Perambur, Basin Bridge",1,317,5.5,57.6
2026-03-16,Chennai Central,MAS,12616,GRAND TRUNK EXP,Express,New Delhi,NDLS,Chennai Central,MAS,04:40,--,0,Arrival,Y,Southern Railway (SR),MAS,"Vijayawada, Nellore, Gudur, Renigunta, Katpadi",1,2188,36.5,59.9
2026-03-16,Chennai Central,MAS,12655,NAVJEEVAN EXP,Express,Ahmedabad,ADI,Chennai Central,MAS,05:10,--,0,Arrival,Y,Southern Railway (SR),MAS,"Ahmedabad, Surat, Mumbai, Pune, Vijayawada",1,1920,32.0,60.0
2026-03-16,Chennai Central,MAS,16093,LUCKNOW EXP,Express,Chennai Central,MAS,Lucknow,LJN,--,05:10,0,Departure,X,Southern Railway (SR),MAS,"Katpadi, Jolarpettai, Salem, Erode, Coimbatore",3,2226,45.0,49.5
2026-03-16,Chennai Central,MAS,16031,ANDAMAN EXPRESS,Express,Chennai Central,MAS,Shri Mata Vaishno Devi Katra,SVDK,--,05:10,0,Departure,X,Southern Railway (SR),MAS,"Jolarpettai, Cuddapah, Guntakal, Secunderabad, Nagpur",3,3726,67.0,55.6
2026-03-16,Chennai Central,MAS,22640,CHENNAI EXPRESS,Express,Alappuzha,ALLP,Chennai Central,MAS,05:15,--,0,Arrival,Y,Southern Railway (SR),MAS,"Ernakulam, Thrissur, Coimbatore, Tirupur, Katpadi",1,928,16.0,58.0
2026-03-16,Chennai Central,MAS,20677,NS VANDEBHARAT,Premium Express,Chennai Central,MAS,Nagercoil,NS,--,05:30,0,Departure,Y,Southern Railway (SR),MAS,"Katpadi, Vriddhachalam, Villupuram, Cuddalore, Chidambaram",2,615,10.5,58.6
